fence_id,center_lon,center_lat,pop_count,fence_name,rep_rank,alpha,beta,resident_population_5km
3760123930619150336,114.40267947324249,30.504987390812133,90305,武汉市洪山区珞喻路766号,1,0.29618490758685767,0.058254032204960345,3144
B0FFG2S8G1,114.62125306409058,30.49022038205425,10676,左岭商城,2,0.4984197166145741,0.1032275960216955,471
external_location_29965098,114.29180459863197,30.476625122989383,44483,龙湖武汉白沙天街,3,0.28109049036493194,0.08370678230514632,2356
external_location_24086259,114.49855804863157,30.48815260836534,49560,武汉大悦城,4,0.5178919151949571,0.10618803398731815,808
external_location_4783237,114.38422414409224,30.603749010391034,28148,武汉金地广场购物中心,5,0.42357032094851976,0.12738464797637652,1960
external_location_2480685,114.35659091616317,30.52644079985111,45122,武汉银泰创意城,6,0.1824924590734886,0.06819606505050181,3285
B0FFF4ICM0,114.26338602993806,30.432826451186376,12727,东澜岸广场,7,0.3704463062952251,0.14717828310099682,1112
3760136317304832000,114.32588986054074,30.503951615405285,29501,武汉市洪山区文治街丁字桥南路,8,0.18268318739954784,0.09431531933453025,3175
external_location_2518920,114.41053479842203,30.477059132209977,32771,武汉光谷天地,9,0.1713801053387061,0.08211303279542632,3228
B0H0A5UO9Z,114.49234598347746,30.559510404001326,2594,联投花山郡·悠乐里,10,0.18496808025356742,0.2270815258788542,2439
