fence_id,center_lon,center_lat,imei_count,fence_name,rep_rank,alpha,beta,resident_population_2km
3760123930619150336,114.4026795,30.50498739,90305,武汉市洪山区珞喻路766号,1,0.1749242,0.090511726,1286
B0FFG2S8G1,114.6212531,30.49022038,10676,左岭商城,2,0.437471287,0.224369566,196
external_location_29965098,114.2918046,30.47662512,44483,龙湖武汉白沙天街,3,0.280525273,0.24048064,732
external_location_24086259,114.498558,30.48815261,49560,武汉大悦城,4,0.552551224,0.230982192,337
external_location_4783237,114.3842241,30.60374901,28148,武汉金地广场购物中心,5,0.220263079,0.22263444,618
external_location_2480685,114.3565909,30.5264408,45122,武汉银泰创意城,6,0.150564808,0.150069945,783
B0FFF4ICM0,114.263386,30.43282645,12727,东澜岸广场,7,0.140301534,0.247995819,303
3760136317304832000,114.3258899,30.50395162,29501,武汉市洪山区文治街丁字桥南路,8,0.096429038,0.186131954,693
external_location_2518920,114.4105348,30.47705913,32771,武汉光谷天地,9,0.082412945,0.10796571,999
B0H0A5UO9Z,114.492346,30.5595104,2594,联投花山郡·悠乐里,10,0.173846365,0.373427673,93
external_location_2480605,114.3467415,30.58869,13573,武汉新世界百货徐东店,11,0.076794051,0.179660463,377
common_street_3a9345f648a8f994428562e2cc4848c360d58bb91469fc96d066a25de1d1b5dc,114.3641139,30.52205813,61016,武汉市洪山区广埠屯,12,0.118337045,0.070250166,845
B0FFF0EHR9,114.4023399,30.50533909,86584,世界城光谷步行街,13,0.166538719,0.091690676,1289
manual_submission_wt3md451f6rz20250807,114.3501311,30.50905663,31679,中商优品汇,14,0.084143403,0.125589349,870
common_street_2ea36b9dd33892d205d912be5c9283ea84cb05e4c52150b4a371209a5f0c989a,114.4634916,30.65875611,531,武汉市洪山区焦沙公路杜家井,15,0.161512315,0.226179977,16
external_location_5058067,114.4454238,30.49978259,6858,武汉嘉园印象里,16,0.075670198,0.304090061,355
B001B0HPL4,114.3501158,30.4750213,9133,华中农业大学梧桐路步行街,17,0.058032625,0.296180454,288
